[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 200 (27ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/src_0f28kzj._.js → 200 (28ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_1xb-__p._.js → 200 (29ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_097lp6p._.js → 200 (28ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_097lp6p.js → 200 (28ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0dfntjm._.js → 200 (30ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/src_app_loading_tsx_097lp6p._.js → 200 (29ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/brand/rotary-hero-poster.jpg → 200 (1ms, ?B)
[2026-08-14T06:22:13.090Z] GET http://localhost:3000/brand/rotary-hero.mp4 → 206 (19ms, 2567354B)
[2026-08-14T06:22:13.106Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (3ms, ?B)
[2026-08-14T06:22:13.106Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 200 (9ms, ?B)
[2026-08-14T06:22:13.803Z] GET http://localhost:3000/directory → 200 (33ms, 16232B)
[2026-08-14T06:22:13.838Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (?ms, -300B)
[2026-08-14T06:22:13.838Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (1ms, -300B)
[2026-08-14T06:22:13.839Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (?ms, -300B)
[2026-08-14T06:22:13.839Z] GET http://localhost:3000/brand/rbw-mark.jpg → 304 (10ms, ?B)
[2026-08-14T06:22:13.846Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 304 (4ms, ?B)
[2026-08-14T06:22:13.846Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (13ms, ?B)
[2026-08-14T06:22:13.846Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (5ms, ?B)
[2026-08-14T06:22:13.846Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (12ms, ?B)
